Age;Gender;Glasses;EyeProblems;Job;Education;NrFalseInputs_generalQuestions;Semester;FreeTime;SideJob;NrFalseInputs_studentQuestions;JavaExperience;OverallExperienc;OtherLanguages;BiggestProjectPart;BiggestProjectRead;BiggestProjectDone;JavaKnowledge;LastTimeJava;NrFalseInputs_progQuestions;WarmUpResult;Serious;Distract;Fun;NrFalseInputs_finalQuestions;SubjectID;Difficulty;RatingEqual;RatingReal;Appearance;Dist_DR;Dist_DE;Dist_ER;Dist_AD;Dist_AE;Dist_AR
1993;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;0;Werkstudent;0;7;7;Haskell Python C++ JS TS;200000;26000;2000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;8024;2048;8402;8402;3;3;4;3;4;0
1991;M‰nnlich;Ja;Nein;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;4;8;Python C++ Go C Bash Haskell;5000000+;30000;10000.0;Projekterfahrung;L‰nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;4ae1494b-c720-45b5-9359-5c5fff06c0d6;0482;0482;0482;8402;0;0;0;2;2;2
1994;M‰nnlich;Ja;Ja;Student;Abitur / Fachabitur;0;8;8;Selbst‰ndig;0;8;8;C# C C++ PHP;30000;30000;20000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;54ba2190-4790-4a18-904a-ad793e801388;0482;0842;0482;8402;0;2;2;2;3;2
1989;M‰nnlich;Ja;Ja;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;9;9;Scala Python C++ C Go Haskell;50000;50000;18000.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;58b0e895-0a15-4387-9e7c-061fb5cbdf20;0428;0248;0248;8402;2;2;0;3;4;4
1993;Weiblich;Ja;Nein;Angestellt in der freien Wirtschaft;Abitur / Fachabitur;0;0;0;Nein;0;1;1;;1000;500;500.0;Grundkenntnisse;Diese Woche;1;r;Ja;Nein;Ja;0;657cdd6f-3b1b-4211-95cf-e6b348f17525;4280;2048;0248;0824;3;4;2;4;4;3
1996;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;4;7;Werkstudent;0;5;7;PHP Shellscript Visual Basic C(++) C#;15000;15000;5000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;7567cd4b-d1d0-4784-afea-746593590c8a;4820;4208;4208;8402;3;3;0;4;3;3
1995;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;0;Nein;0;3;3;C C++;10000;10000;2000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;79b33ae4-e339-4191-af55-ddbcc2be341a;8204;2084;2084;0482;3;3;0;4;3;3
1995;M‰nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;4;3;Studentische Hilfskraft;0;2;3;JavaScript PHP CSS HTML;30000;5000;2000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;83f51366-0cb7-42d4-8272-6c42d820419d;8402;4802;4802;2084;2;2;0;4;4;4
1997;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;2;7;Nein;0;9;9;Bash Python C;7000;500;7000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;963b71f8-bc8c-426b-a943-f899fb83dac9;4028;2048;0248;0248;3;2;2;3;2;0
1990;M‰nnlich;Nein;Nein;Student;Bachelor;0;4;10;Nein;0;3;9;C C++ Python Bash Perl;5000;4000;4000.0;Projekterfahrung;Letztes Jahr;0;r;Ja;Nein;Ja;0;9c9cac0d-637b-47b6-970a-3d7891597082;2084;0824;0284;0824;2;3;2;3;0;2
2000;M‰nnlich;Nein;Nein;Anders;Anderer Abschluss;0;0;0;Nein;0;1;1;C C++ ABAP;700;700;700.0;Keine Erfahrung;Diese Woche;2;r;Ja;Nein;Ja;0;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;2480;2048;2048;4082;3;3;0;3;3;3
1997;M‰nnlich;Ja;Ja;Student;Abitur / Fachabitur;0;4;1;Nein;0;4;4;;5000;5000;5000.0;Regelm‰ﬂig;L‰nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;a8274994-925c-4bf4-bfee-6a2318a0ae79;8024;0824;0824;4208;2;2;0;4;4;4
1996;M‰nnlich;Nein;Nein;Angestellt in der freien Wirtschaft;Abitur / Fachabitur;0;0;0;Nein;0;2;3;JavaScript PL/SQL C++;50000;-;1000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;afec3d90-808c-4c50-b759-535754388ceb;2048;0248;0248;2480;2;2;0;3;4;4
1994;M‰nnlich;Nein;Ja;Student;Abitur / Fachabitur;0;6;3;Studentische Hilfskraft;0;7;7;C C++ Single Assignment C Haskell;10000;10000;2000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Nein;0;b2086a14-44bf-4a26-8261-f2679230b9a8;2048;2048;0824;8402;4;0;4;4;4;4
1993;M‰nnlich;Ja;Nein;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;6;10;Python R C# PHP;15000;15000;2000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;b382cb61-c4bb-45b9-a314-c4f74187715a;4082;8024;0824;8402;4;3;2;3;3;4
1997;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;4;15;Studentische Hilfskraft;0;2;2;Python;4000;4000;2300.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;b5ae633c-2a0f-4be2-b750-98e1f55cdade;0248;0248;0248;8402;0;0;0;4;4;4
1988;M‰nnlich;Ja;Nein;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;5;14;Python R C C++ Haskell;12000;12000;8000.0;Projekterfahrung;L‰nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;b76a6815-227b-44ba-8df1-66ffc969d6f6;2048;0482;0482;8402;4;4;0;4;2;2
1994;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;4;1;Studentische Hilfskraft;0;4;4;R Python C;20000;20000;3000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;b8fecf79-c297-44f6-9354-bed8bca51fee;0842;0482;0482;8402;2;2;0;3;2;2
1994;M‰nnlich;Ja;Nein;Student;Bachelor;0;1;2;Studentische Hilfskraft;0;5;5;Python (Grundkenntnisse);10000;10000;500.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;bc09646b-dfee-4aac-8918-eee34b72ef2b;8240;4208;4028;2084;4;3;2;4;4;3
1989;M‰nnlich;Ja;Nein;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;6;6;CC++Scala;50000;50000;5000.0;Regelm‰ﬂig;Letzten Monat;1;r;Ja;Nein;Ja;0;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;0284;2480;2480;4820;3;3;0;4;3;3
1993;M‰nnlich;Nein;Nein;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;6;11;C++ R Python Haskell C Scala;20000;20000;20000.0;Projekterfahrung;L‰nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3;8042;0428;0428;8402;4;4;0;2;3;3
1986;M‰nnlich;Nein;Nein;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;13;17;C# R Scala C++ Python Pascal;200000;200000;10000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;d599c8c3-19c9-4a1a-b58b-4cdca90e1242;0428;8042;0842;8402;3;4;2;3;2;3
1989;M‰nnlich;Nein;Ja;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;2;0;0;Nein;0;10;20;CC++PythonRGroovyBashPascal;100000;100000;50000.0;Projekterfahrung;Diese Woche;0;r;Ja;Nein;Ja;0;db813ec1-a4b3-459b-8fe5-f7922f07c48a;8240;8042;8024;2084;3;2;2;4;3;2
1995;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;0;Nein;0;5;5;Python Haskell;10000;10000;2000.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;ddeea276-af9c-4fd7-8222-a502765ea86b;2084;0428;0428;8402;4;4;0;4;3;3
1984;M‰nnlich;Nein;Ja;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;5;15;C++ Python Haskell R;500000;100000;30000.0;Projekterfahrung;L‰nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;deb2daed-9b19-4b16-8d73-19782d99f1be;8204;4208;0428;2048;4;2;3;4;3;3
1994;M‰nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;7;12;Studentische Hilfskraft;0;5;5;Java JavaScript TypeScript C;~30000;~30000;15000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;e2f1a12c-0c6c-4377-9cb3-7900e161543e;0842;0248;0248;8024;2;2;0;4;4;4
1996;M‰nnlich;Nein;Ja;Student;Abitur / Fachabitur;0;6;20;Studentische Hilfskraft;0;3;7;PythonCC++Go;25000;16000;25000.0;Projekterfahrung;Letztes Jahr;0;r;Ja;Nein;Ja;0;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;0842;4082;4082;8024;3;3;0;4;3;3
1977;M‰nnlich;Nein;Nein;Angestellt an der Universit‰t (kein HiWi);Promotion;0;0;0;Nein;0;17;22;CC++RubyHaskellScala;70000;70000;10000.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;e57e7136-95f1-44fc-9fd9-e5f805081140;0248;0482;0482;8402;3;3;0;4;2;2
1996;M‰nnlich;Ja;Ja;Angestellt in der freien Wirtschaft;Abitur / Fachabitur;0;0;0;Nein;0;5;5;C++ Javascript ABAP;100000;100000;500.0;Grundkenntnisse;L‰nger als 1 Jahr her;1;r;Ja;Nein;Ja;0;f8097b81-451a-4674-8e3c-a9bef6d6e763;8024;4802;4802;8402;4;4;0;3;2;2
